S_No,Division,District,Taluka,UC,Name_of_th,Latitude,Longitude,HF_Managed,Status,Funded_By,Phase
"4",Hyderabad,Jamshoro,Kotri,Petaro,District Council Dispensary Petaro,25.53528000000,68.32135300000,DOH,Functional,World Bank,Second Phase
"32",Hyderabad,Thatta,Thatta,Jhimpeer,Government Dispensary Looni Kot,25.33714000000,68.14597200000,DOH,Functional,Islamic Dev: Bank,First Phase
"38",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Nehmat Gujar,24.64315000000,68.55033611000,DOH,Non Functional,World Bank,Second Phase
"39",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Chak-05,24.58242000000,68.59397200000,DOH,Functional,World Bank,Second Phase
"40",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Chak-10,24.50778000000,68.64298600000,DOH,Functional,World Bank,Second Phase
"41",Hyderabad,Badin,Golarchi,Gharo,Government Dispensary Mohammad Ali Mandharo,24.58794000000,68.66580000000,DOH,Non Functional,World Bank,Second Phase
"42",Hyderabad,Badin,Golarchi,Golarchi,Government Dispensary Chak-36,24.53620000000,68.54630600000,DOH,Functional,World Bank,Second Phase
"43",Hyderabad,Badin,Golarchi,Golarchi,Government Dispensary Ismail Khan Notkani,25.01972000000,68.78476400000,DOH,Non Functional,World Bank,Second Phase
"44",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Abdul Majeed Nohani,24.73393000000,68.68901000000,DOH,Functional,World Bank,Second Phase
"45",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Ghohram Khan Nohani,24.76152000000,68.67076000000,DOH,Non Functional,World Bank,Second Phase
"46",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Meran Patel Samejo,24.70410000000,68.64393000000,DOH,Non Functional,World Bank,Second Phase
"47",Hyderabad,Badin,Matli,Ghulam Shah,Government Dispensary Jan Mohammad Laghari,25.21964000000,68.74677000000,DOH,Non Functional,World Bank,Second Phase
"48",Hyderabad,Badin,Talhar,GM Nizamani,Government Dispensary Kamal Halepota,24.92021000000,68.83919444000,DOH,Non Functional,World Bank,Second Phase
"49",Hyderabad,Badin,Talhar,Peru Lashari,Government Dispensary Peru Lashari,24.76529000000,68.81493100000,DOH,Non Functional,World Bank,Second Phase
"50",Hyderabad,Badin,Badin,Lunari Sharif,Government Dispensary Ishaque Samoo,24.51144000000,68.89134700000,DOH,Functional,World Bank,Second Phase
"51",Hyderabad,Badin,Badin,Nindo,Government Dispensary Arbab Baqa Nohario,24.60939000000,69.05626700000,DOH,Functional,World Bank,Second Phase
"52",Hyderabad,Badin,Tando Bago,Pangrio,Government Dispensary Bachal Khan Laghari Taluka Tando Bago,25.04019000000,69.01522000000,DOH,Non Functional,World Bank,Second Phase
"53",Hyderabad,Dadu,Dadu,Muradabad,Government Dispensary Shafi Muhammad Panhwar DoH,26.53588000000,67.31381800000,DOH,Functional,World Bank,Second Phase
"54",Hyderabad,Dadu,Dadu,Nao Goth,Government Dispensary Taj Muhammad Zardari. DoH,27.15583000000,67.98583100000,DOH,Functional,World Bank,Second Phase
"55",Hyderabad,Dadu,Dadu,Pipri,Government Dispensary Shah Nawaz Mastoi.,26.70555000000,67.78729300000,DOH,Functional,World Bank,Second Phase
"56",Hyderabad,Dadu,Dadu,Thariri Muhabat,Government Dispensary Walio Khoso. DoH,27.21738000000,67.89473700000,DOH,Functional,World Bank,Second Phase
"57",Hyderabad,Dadu,Dadu,Yar Mohammad Kalhoro,Government Dispensary Mir Muhammad Kalhoro. DoH,26.66157000000,67.71904800000,DOH,Functional,World Bank,Second Phase
"58",Hyderabad,Dadu,Johi.,Bahawalpur,Government Dispensary Noor Muhammad DoH,26.75091000000,67.62951300000,DOH,Functional,World Bank,Second Phase
"59",Hyderabad,Dadu,Johi.,Phulji village,Government Dispensary Bahadur Khan Naich,26.92144600000,67.67280200000,DOH,Functional,World Bank,Second Phase
"60",Hyderabad,Dadu,Johi.,Tore.,Government Dispensary Taj Muhammad Doltani. DoH,26.69088000000,67.60961500000,DOH,Functional,World Bank,Second Phase
"61",Hyderabad,Dadu,KN Shah,Kakar.,Government Dispensary Kakar. DoH,26.38796000000,67.29568000000,DOH,Functional,World Bank,Second Phase
"62",Hyderabad,Dadu,MEHAR,Baladai.,Government Dispensary Loung Tunio. DoH,27.26765000000,67.79078500000,DOH,Functional,World Bank,Second Phase
"63",Hyderabad,Dadu,MEHAR,Bali Shah.,Government Dispensary Bhand Mari. DoH,27.24535000000,67.62908400000,DOH,Functional,World Bank,Second Phase
"64",Hyderabad,Dadu,MEHAR,Kolachi.,Government Dispensary Ambar. DoH,27.13769000000,67.95688200000,DOH,Functional,World Bank,Second Phase
"65",Hyderabad,Dadu,Johi.,Tando Rahim,Government Dispensary Murad Khan Jamali,26.61687000000,67.42914167000,PPHI,Functional,World Bank,Second Phase
"66",Hyderabad,Jamshoro,Sehwan,Bubak,Government Dispensary Nagar Khan Brohi,26.50884000000,67.67743000000,PPHI,Functional,World Bank,Second Phase
"67",Hyderabad,Jamshoro,Sehwan,Bubak,Government Dispensary Gaheer,26.43135000000,67.86438000000,PPHI,Functional,World Bank,Second Phase
"68",Hyderabad,Jamshoro,Sehwan,Channa,Government Dispensary Paka Channa,26.43656000000,67.84375170000,PPHI,Functional,World Bank,Second Phase
"69",Hyderabad,Jamshoro,Sehwan,Channa,Government Dispensary Umeed Ali Katohar,26.47174000000,67.83122000000,PPHI,Functional,World Bank,Second Phase
"70",Hyderabad,Jamshoro,Sehwan,Channa,Government Dispensary Karampur,26.46561000000,67.84822270000,PPHI,Functional,World Bank,Second Phase
"71",Hyderabad,Jamshoro,Sehwan,Dall,Government Dispensary Yousif Jamali,26.52384000000,67.87643000000,PPHI,Functional,World Bank,Second Phase
"72",Hyderabad,Jamshoro,Sehwan,Talti,Basic Health Unit Kot Lashari,26.48975000000,67.81394500000,PPHI,Non Functional,World Bank,Second Phase
"73",Hyderabad,Jamshoro,Sehwan,Talti,Basic Health Unit Naon Wahan,26.65524000000,67.43487643000,PPHI,Functional,World Bank,Second Phase
"74",Hyderabad,Jamshoro,Sehwan,Talti,Government Dispensary Bilawalpur,26.67689000000,67.72055630000,PPHI,Functional,World Bank,Second Phase
"75",Hyderabad,Jamshoro,Sehwan,Talti,Government Dispensary Duri Dero,26.67524000000,67.44856430000,PPHI,Non Functional,World Bank,Second Phase
"76",Hyderabad,Jamshoro,Sehwan,Talti,Government Dispensary Mahi Otho,26.86524000000,67.56856430000,PPHI,Functional,World Bank,Second Phase
"77",Hyderabad,Jamshoro,Sehwan,Talti,Government Dispensary Manhyoom,26.68524000000,67.69456430000,PPHI,Functional,World Bank,Second Phase
"78",Hyderabad,Jamshoro,Sehwan,Talti,"Maternity Home & 05 Bedded Mother & Child Care Centre, Bhmbha",26.54493000000,67.73458710000,PPHI,Functional,World Bank,Second Phase
"111",Larkana,Larkana,Bakrani,Maharwada,Government Dispensary Fareed Abad,27.46265000000,68.22986200000,DOH,Functional,World Bank,First Phase
"112",Larkana,Larkana,Bakrani,Rasheed Wagan,Government Dispensary Mehrab Sandeelo,27.44863000000,68.03136610000,DOH,Non Functional,World Bank,First Phase
"113",Larkana,Larkana,Dokri,Bagi,Government Dispensary Dara,27.25970000000,68.10712200000,DOH,Functional,World Bank,First Phase
"114",Larkana,Larkana,Larkano,Dhamraha,Govt:Dispensary Khursheed Ahmed Ji Wandh,27.68856000000,68.24518400000,DOH,Non Functional,World Bank,First Phase
"115",Larkana,Larkana,Larkano,Fatehpur,Government Dispensary Longaee,27.64679000000,68.17240300000,DOH,Functional,World Bank,First Phase
"116",Larkana,Larkana,Larkano,Ratokot,Government Dispensary Ratokot,27.54360000000,68.08241800000,DOH,Functional,World Bank,First Phase
"117",Larkana,Larkana,Ratodero,Bagi,Government Dispensary Bagi,27.32377000000,68.10407100000,DOH,Non Functional,World Bank,First Phase
"118",Larkana,Larkana,Ratodero,Bahman,Government Dispensary Bhoonbhatpur,27.71247000000,68.41660167000,DOH,Functional,World Bank,First Phase
"119",Larkana,Larkana,Ratodero,Jumo agham,Government Dispensary Meval Kot,27.86213000000,68.20018300000,DOH,Non Functional,World Bank,First Phase
"120",Larkana,Larkana,Ratodero,Masoodero,Government Dispensary Yaroo Jalbani,27.78885000000,68.33594580000,DOH,Non Functional,World Bank,First Phase
"121",Larkana,Larkana,Ratodero,Taib,Government Dispensary Gabbar,27.77771000000,68.23644830000,DOH,Non Functional,World Bank,First Phase
"122",Larkana,Larkana,Ratodero,Waris Dino Machi,Government Dispensary Wada Boosan,27.91581000000,68.23611800000,DOH,Functional,World Bank,First Phase
"123",Larkana,Larkana,Ratodero,Saidodero,Government Dispensary Tagar,27.62917000000,68.29088850000,DOH,Functional,World Bank,First Phase
"124",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Abdul Qadir Khan Buriro,28.15328000000,68.71678600000,DOH,Non Functional,World Bank,First Phase
"125",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Ali Murad kandrani,28.23826000000,68.68678600000,DOH,Non Functional,World Bank,First Phase
"126",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Balach Khan Banglani,28.21095000000,68.82885700000,DOH,Non Functional,World Bank,First Phase
"127",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Chowk Lashari,28.28981000000,68.86022900000,DOH,Non Functional,World Bank,First Phase
"128",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Ghazanfar Khan Jakhrani,28.28040000000,68.43940800000,DOH,Non Functional,World Bank,First Phase
"129",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Ghulam Hussain Sarki,28.35096000000,68.72317600000,DOH,Non Functional,World Bank,First Phase
"130",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Gul Sher Khan Kandrani,28.27694000000,68.75939444000,DOH,Non Functional,World Bank,First Phase
"131",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Liquatabad Khoso,28.34755000000,68.75773600000,DOH,Non Functional,World Bank,First Phase
"132",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Rehmatullah Sarki / Sachal Sarki,28.20712000000,68.57914900000,DOH,Non Functional,World Bank,First Phase
"133",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Shah Jahan Khan Bhangar,28.36924000000,68.77514600000,DOH,Non Functional,World Bank,First Phase
"134",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Ustad Nazeer Ahmed Noonari,28.22298000000,68.77113400000,DOH,Non Functional,World Bank,First Phase
"135",Larkana,Jacobabad,Thul,Garhi Hassan,Government Dispensary Zarak Brohi,28.24580000000,68.60495200000,DOH,Non Functional,World Bank,First Phase
