District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive Receptor (within 200m),SMP,
Badin,Tandobago ,Pahar Mari,Sonhar ,Mir Bachal talpur ,24.6935383,68.9815556,Mosque ,NRSP,
Badin,Tandobago,Pahar Mari,Sonhar,Makhan Mallah,24.6831089,68.9884166,Govt Primary school and Mosque,NRSP,
Badin,Matli,Tharee,Panj miso,Soomar Bheel,25.0175342,68.8506294,"School,  Mandir,",NRSP,
Badin,Talhar,Pir Ali Bahadur Shah Chanri,Kohar,Gulan Khaskheli,24.8344178,68.8562413,"School,mosque,lakes",NRSP,
Badin,Badin,Dr Abdullah Soomro,Chorhalo,Usman Soomro,24.6708352,68.8898118,Arab Soomro School,NRSP,
Badin,Talhar,Peeru lashari,Phuladyon,Patasho Mallah,24.7268027,68.864232,"Mosque, school",NRSP,
Badin,Tandobago,Pahar Mari,Khirdayi Rayati,Abbas Sahito,24.7395606,68.9624621,Mosque,NRSP,
Badin,Tandobago,Pahar Mari,Khirdayi Rayati,Muhammad sahito,24.7413211,68.9622774,Mosque,NRSP,
Badin,Matli,Haji Sawan,Nathu,Fazal Khan Bagrani,25.0546954,68.8379179,"School,  Masjid,  Canal,",NRSP,
Badin,Matli,Nabi Bux Kamboh,Keenjhar,Haji Wasoo Khoso,25.0780285,68.810004,"School, Mandir",NRSP,
Badin,Badin,Darga Yousif Shah,Baghar,Haji Saleh Junejo,24.7120311,68.815106,Mosque,NRSP,
Badin,Badin,Dr Abdullah Soomro,Chorhalo,Jalal Shah,24.6703704,68.8844761,Government Primary Jalal Shah School,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Kak 1,Haji Ahmed Mallah ,24.721683,68.9771757,Govt Primary school ,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Kak 1,Allah juryo Mallah ,24.7182618,68.9764266,Mosque ,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Kak 1,Barha memon ,24.7217809,68.9962205,Primary school ,NRSP,
Badin,Tando bago,Oliya Khan shah,Amarnar,Buxo Khan Lund,24.7409728,69.2149288,School mosque,NRSP,
Badin,Tando bago,Oliya Khan shah,Liar,Ali Murad rind,24.8073726,69.1567486,Mosque,NRSP,
Badin,Tando bago ,Oliya Khan shah ,Gujo ,Ghulam Muhammad chijro ,24.7901088,69.1399779,Mosque ,NRSP,
Badin,Matli,Malhan,Ali Pur,Ismail Wadho,25.0271051,68.7045912,"Masjid,  School,",NRSP,
Badin,Badin,Dargha Yousif Shah,Baghar,Ravat Chandio,24.6977068,68.8240289,Masjid,NRSP,
Badin,Matli,Phalkara,Dero muhbat,Mir QADIR bux Talpur,25.0924565,68.7621592,River,NRSP,
Badin,Matli ,THARI ,Panjam hiso ,baksho Khan Nizamani ,24.9997926,68.8551453,"Schools , mosque and residential communities ",NRSP,
Badin,Matli,THARI,Panjam Hiso,Badal Nizamani,24.9963763,68.8532192,Schools,NRSP,
Badin,Matli ,Thari ,Panjam hiso ,Alan Khan Nizamani ,24.9903275,68.8225503,Mosque ,NRSP,
Badin,Matli,MC Matli,Ward 1,Fazal Muhammad colony,25.0570953,68.6460043,"School, hospital Canal , Non Muslim mandir ",NRSP,
Badin,Matli,MC Matli,Ward 1,Ahsan shah colony,25.0482127,68.6528974,"Hospital, schools, mosque",NRSP,
Badin,Matli,Muncipal Committee Matli,Ward No 01,Muhammad Khan Notkani,25.0562296,68.6567894,Al Ameen college,NRSP,
Badin,Matli,Municipal Committee Matli,Ward No 01,Noor Muhammad Colony,25.0499736,68.6495993,Near Ali CNG,NRSP,
Badin,Matli,Malhan,Malhan,Malhan,25.0588083,68.7037917,Malhan Stop,NRSP,
Badin,Tando bago,Saman sarkar,Wagdahi,Faqeer missri khoso,24.801007,69.2636094,School hospital,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Thorki,Siddique Halepoto ,24.7292545,69.0203009,Govt Primary school ,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Thorki,Saalar halepoto ,24.7252115,69.0275155,Govt Primary school ,NRSP,
Badin,Tando bago ,Saman sarkar ,Wagdahi ,Ghulam Muhammad khoso ,24.7972737,69.2547361,Mosque ,NRSP,
Badin,Tando bago,Saman sarkar,Phull,Luqman kamboh,24.863321,69.2263073,Mosque,NRSP,
Badin,Matli,Haji Sawan,Nathu,Allah Bachayo lund,25.0429018,68.8304745,Masjid,NRSP,
Badin,Matli,Phalkara,Khachar,Haji Raho Halepoto,0.1989099,-0.8462598,"Mosque, Masjid",NRSP,
Badin,Matli,Haji Allah dino serewal,Chan sonrani,Daim khaskheli,25.1476499,68.7653374,"Filter plant , Mosque, Primary and high school,",NRSP,
Badin,Matli,Ghulam Muhammad shah,Paee,Gujar kot,0.1536589,-0.0188498,"School,masjid",NRSP,
Badin,Badin,Shaheed Dado Soomro,Lundo,Gul Muhammad Lund,24.3445883,68.9113283,"School, Mosque",NRSP,
Badin,TANDOBAGO,Dadah,Aliabad,Nabi Bux khaskheli,24.9844836,69.1264362,Mosque Hospital,NRSP,
Badin,Tando bago,Saman Sarkar,Phull,Aali Phull,24.838206,69.1679167,"School, Masjid and Primary School",NRSP,
Badin,Tando bago,Oliya Khan shah,Amarnar,Faqeer Muhammad arain,24.7868331,69.1705148,Mosque,NRSP,
Badin,Tando bago ,Oliya Khan shah ,Amarnar ,Hayatkhaskeli ,24.7784187,69.182546,Mosque ,NRSP,
Badin,Talhar,Sseed pur,Dabgiro,Saeed pur,24.9108303,68.8640062,"Schools,mosque,hospital,",NRSP,
Badin,Tandobago ,Pahar Mari ,Sadiq,Haji Qasim soomro ,24.6975252,68.9668043,Mosque ,NRSP,
Badin,Badin,Nindo,Bambki,Allah Rakhio Bhurghri,24.587022,69.0382873,"Schools,  Mosque",NRSP,
Badin,Tandobago,Khan Bahadur Mir ghulam Muhammad Talpur,Phatu qambrani,Miyengi Usman Mallah,24.7616927,69.0163645,Mosque,NRSP,
Badin,Tandobago,Khan Bahadur Mir ghulam Muhammad Talpur,Phatu qambrani,Nehal halepoto,24.7728864,69.0156647,Mosque,NRSP,
Badin,Tandobago,Khan Bahadur Mir ghulam Muhammad Talpur,Rajuri 1,Pir sahib dino shah,24.7683609,69.0423426,Primary school and Mosque ,NRSP,
Badin,Tandobago ,Khalifa Qasim ,Rajuri 2,Ibrahim Mallah,24.7554595,69.0854098,Mosque,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Morhadi,Sawan lund,24.8010651,69.0701876,Mosque ,NRSP,
Badin,Tandobago,Pahar mari,Khirdayi Rayati,Pahar Mari Village,24.7618699,68.9588858,Mandir,NRSP,
Badin,Tando bago ,Khalifo Qasim ,Rooparho ,Abdul ghafoor arain ,24.7527802,69.1544212,Mosque ,NRSP,
Badin,Tandobago,Khan Bahadur Mir ghulam Muhammad Talpur,Kal 1,Tayyab halepoto,24.7336005,68.9917414,Mosque ,NRSP,
Badin,Tando bago,Gaad@hayatkhaskeli,Piror,Bijar Khan notkhani,24.889975,69.3102945,Mosque,NRSP,
Badin,Tando bago ,Gaad@hayatkhaskeli ,Gaad ,Hayatkhaskeli ,24.9624213,69.2957899,Mosque,NRSP,
Badin,Matli,Phalkara,Dero Mohbat,Budho talpur,25.0885749,68.7469453,"Mandir,  Mosque, canal",NRSP,
Badin,Tandobago,Pahar Mari,Hamirah,Pali Saand,24.7322668,68.9512324,No,NRSP,
Badin,Shaeed Fazil Rahu,Tarai,Tarai,Saleh Samejo,24.7135699,68.6411599,"Mosque,School",NRSP,
Badin,Shaheed Fazil Rahu,Kandiyari,Patial,Wanho Bhaghat,24.6350504,68.6421061,"School, rama peer mandar(non Muslim worship place)",NRSP,
Badin,Shaheed Fazil Rahu,Tarai,Tarai,Meeran Samejo,24.7007889,68.6438581,"School,Mosque",NRSP,
Badin,Tando bago ,Khairpur ,Dhorokaka noro ,Haji Khan (Usman chandio) ,24.849099,69.2874047,Mosque ,NRSP,
Badin,Talhar,Meer Sahib Khan Talpur @ Saeed Pur,Saeed pur,Mohammad Siddique Mallah,24.8994554,68.8850318,"Mosque,school,",NRSP,
Badin,Talhar,Peeru lashari,Shorki,Kalo kolhi,24.7738917,68.9190319,"No school,hospital within 200",NRSP,
Badin,Tando bago ,Khairpur ,Tando bago ,Wasoo kamdaar ,24.8936573,69.2346469,Temple ,NRSP,
Badin,Tandobago ,Khan Bahadur Mir ghulam Muhammad Talpur ,Thorki,Muhammad sharif Chandio ,24.743623,69.0456211,Mosque ,NRSP,
Badin,Tando bago ,Sanghi pharao ,Ali pur ,Khuda bux hesbani ,24.8978865,69.2192377,Temple ,NRSP,
Badin,Tando bago ,Khalifo Qasim ,Chhan ,Gul Muhammad kapri,24.7686138,69.1127917,Mosque ,NRSP,
Badin,Tando bago,Khalifo Qasim,Hanjarhadi,Khalifo Qasim,24.7495231,69.1095141,Mosque ,NRSP,
Badin,Matli,Dumbalo,Lorer,Muhammad Qasim Bagrani,25.1171474,68.9891277,"Primary School,",NRSP,
Badin,Matli,Dumbalo,Lorer,Hamzo Bagrani,25.1238072,68.9942232,"Mosque, primary scholl",NRSP,
Badin,Matli,Dumbalo,Lorer,Wali Muhammad Bagrani,25.1245718,68.9984773,"Mosque, School,",NRSP,
Badin,Matli,Dumbalo,Lorer,Haji Muhammad Hassan Bagrani,25.1255285,68.9988701,"School ,mosque primary Girls and Boys",NRSP,
Badin,Matli,Haji Sawan,Hanjar,Ahmed Lund,25.0476181,68.8165256,"School,mosque",NRSP,
Badin,TANDOBAGO ,SAEED Khan Burguri,Khalso,Bakka Norio,24.6100519,69.0592069,Mosque and School,NRSP,
Badin,TANDOBAGO ,Dadah,Dadah,Lakhano Khoso,24.9345269,69.1113915,Mosque ,NRSP,
Badin,matli,Dumabalo,Gupalo,Deen Muhammad,25.1632166,68.9523042,school Masjid ,NRSP,
Badin,Matli,Dumbalo,Gupalo,Noor Muhammad virk,25.1709934,68.9485569,"school,Masjid, residential communities , ",NRSP,
Badin,Matli,Dumbalo,Gupalo,Neem khan chang,25.1541713,68.9541455,"school, residential communities ",NRSP,
Badin,matli,dumabalo,Gupalo,Dero baba fanai,25.1743767,68.9332811,"residential community ,
",NRSP,
Badin,Badin,Dr Abdullah Soomro,Chorhalo,Usman Soomro,24.684995,68.9033783,Dr Abdullah Soomro School,NRSP,
Badin,matli,Dumbalo,Gupalo,Muhammad Ali goraya,25.2306297,68.9437133,"School, mosque , residential community ",NRSP,
Badin,Matli,Dumbalo,Gupalo,Dodo gishkori,25.1743767,68.9332811,"School, Mosque ,",NRSP,
Badin,Matli,Dumbalo,Gupalo,Choudary Allah dito ( bheel para),25.1850083,68.9710319,"school,",NRSP,
Badin,Matli,Tharo koat,Gharo Sarmast,Majno Sooh,25.0482973,68.9647231,"Mandir,  Filter plant",NRSP,
Badin,Matli,Malhan,Ali pur,Hamid Chandio,25.0462207,68.7108336,"Masjid, School",NRSP,
Badin,Badin,Luwari Sharif,Luwari,Abal wasi,24.6510734,68.8457592,Mosque,NRSP,
Badin,Badin,Luwari Sharif,Lawari,Luwari Sharif,24.5564974,68.9024145,Canal,NRSP,
Badin,Tando bago ,Saman sarkar ,Char ,Rehmatullah bheel ,24.8090044,69.2255953,Temple ,NRSP,
Badin,Tando bago,Saman sarkar,Wagdahi,Mitho chanu,24.825607,69.2699886,Mosque,NRSP,
Badin,Matli,Malhan,Dilo Dero,Siddique Unar,25.0254341,68.7762349,"Masjid,  ",NRSP,
Badin,Matli,Haji Sawan,Nathu,Shahbaz Notkani,25.0371782,68.792171,"Mosque,  School, Mandir,  canal",NRSP,
Badin,Matli,Nabi Bux kambo,Kathore,Khamiso Jogi,25.0681846,68.8099534,Residential communities ,NRSP,
Badin,Matli,Phalkra,Dero muhabat ,Pir bux talpure ,25.0481582,68.6616544,"Mosque ,near peer wah",NRSP,
Badin,Matli,Chhato madrani,Khaberlo,Taj Muhammad junejo,25.0687233,69.0472233,"Mosque , School, ",NRSP,
Badin,Matli,NABI bux Kambooh,Kenjhar,Haji Khan notkani,25.0611148,68.795016,"School, mosque ",NRSP,
Badin,Matli ,Ghulam Muhammad halepoto ,Ghari Lundi ,Peroz Laghari ,25.1110943,68.609026,"Mosque, school , river ",NRSP,
Badin,Matli,Tharo kot @ali Muhammad bozdar,Gharo sarmast,Hussain bux Arain,25.0655007,68.9633732,"Hospital, mosque,school",NRSP,
